case_index,case_total,case_path,category,project,bug_id,case_id,finding_count,include_in_metrics,case_label,notes
1,43,blocking/abba_deadlock/cockroach/10214/cockroach10214_test.go,blocking/abba_deadlock,cockroach,10214,cockroach10214,1,1,,
2,43,blocking/abba_deadlock/cockroach/7504/cockroach7504_test.go,blocking/abba_deadlock,cockroach,7504,cockroach7504,3,1,,
3,43,blocking/abba_deadlock/hugo/3251/hugo3251_test.go,blocking/abba_deadlock,hugo,3251,hugo3251,1,1,,
4,43,blocking/abba_deadlock/kubernetes/13135/kubernetes13135_test.go,blocking/abba_deadlock,kubernetes,13135,kubernetes13135,1,1,,
5,43,blocking/abba_deadlock/kubernetes/30872/kubernetes30872_test.go,blocking/abba_deadlock,kubernetes,30872,kubernetes30872,0,1,,
6,43,blocking/abba_deadlock/moby/4951/moby4951_test.go,blocking/abba_deadlock,moby,4951,moby4951,5,1,,
7,43,blocking/double_locking/cockroach/584/cockroach584_test.go,blocking/double_locking,cockroach,584,cockroach584,2,1,,
8,43,blocking/double_locking/cockroach/9935/cockroach9935_test.go,blocking/double_locking,cockroach,9935,cockroach9935,1,1,,
9,43,blocking/double_locking/etcd/10492/etcd10492_test.go,blocking/double_locking,etcd,10492,etcd10492,1,1,,
10,43,blocking/double_locking/etcd/5509/etcd5509_test.go,blocking/double_locking,etcd,5509,etcd5509,1,1,,
11,43,blocking/double_locking/etcd/6708/etcd6708_test.go,blocking/double_locking,etcd,6708,etcd6708,1,1,,
12,43,blocking/double_locking/grpc/3017/grpc3017_test.go,blocking/double_locking,grpc,3017,grpc3017,1,1,,
13,43,blocking/double_locking/grpc/795/grpc795_test.go,blocking/double_locking,grpc,795,grpc795,3,1,,
14,43,blocking/double_locking/hugo/5379/hugo5379_test.go,blocking/double_locking,hugo,5379,hugo5379,2,1,,
15,43,blocking/double_locking/moby/17176/moby17176_test.go,blocking/double_locking,moby,17176,moby17176,1,1,,
16,43,blocking/double_locking/moby/36114/moby36114_test.go,blocking/double_locking,moby,36114,moby36114,1,1,,
17,43,blocking/double_locking/moby/7559/moby7559_test.go,blocking/double_locking,moby,7559,moby7559,1,1,,
18,43,blocking/double_locking/syncthing/4829/syncthing4829_test.go,blocking/double_locking,syncthing,4829,syncthing4829,1,1,,
19,43,blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,blocking/rwr_deadlock,cockroach,16167,cockroach16167,7,1,,
20,43,blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,blocking/rwr_deadlock,cockroach,3710,cockroach3710,5,1,,
21,43,blocking/rwr_deadlock/cockroach/6181/cockroach6181_test.go,blocking/rwr_deadlock,cockroach,6181,cockroach6181,1,1,,
22,43,blocking/rwr_deadlock/kubernetes/58107/kubernetes58107_test.go,blocking/rwr_deadlock,kubernetes,58107,kubernetes58107,1,1,,
23,43,blocking/rwr_deadlock/kubernetes/62464/kubernetes62464_test.go,blocking/rwr_deadlock,kubernetes,62464,kubernetes62464,4,1,,
24,43,nonblocking/data_race/etcd/4876/etcd4876_test.go,nonblocking/data_race,etcd,4876,etcd4876,0,0,,Not a mutex
25,43,nonblocking/data_race/etcd/8194/etcd8194_test.go,nonblocking/data_race,etcd,8194,etcd8194,0,0,,Not a mutex
26,43,nonblocking/data_race/etcd/9446/etcd9446_test.go,nonblocking/data_race,etcd,9446,etcd9446,0,0,,Not a mutex
27,43,nonblocking/data_race/grpc/1748/grpc1748_test.go,nonblocking/data_race,grpc,1748,grpc1748,0,1,,
28,43,nonblocking/data_race/grpc/3090/grpc3090_test.go,nonblocking/data_race,grpc,3090,grpc3090,0,1,,
29,43,nonblocking/data_race/istio/16742/istio16742_test.go,nonblocking/data_race,istio,16742,istio16742,0,1,,
30,43,nonblocking/data_race/istio/8144/istio8144_test.go,nonblocking/data_race,istio,8144,istio8144,0,0,,Not a mutex
31,43,nonblocking/data_race/istio/8214/istio8214_test.go,nonblocking/data_race,istio,8214,istio8214,0,0,,Not a mutex
32,43,nonblocking/data_race/kubernetes/49404/kubernetes49404_test.go,nonblocking/data_race,kubernetes,49404,kubernetes49404,0,0,,WaitGroup
33,43,nonblocking/data_race/kubernetes/77796/kubernetes77796_test.go,nonblocking/data_race,kubernetes,77796,kubernetes77796,1,1,,
34,43,nonblocking/data_race/kubernetes/79631/kubernetes79631_test.go,nonblocking/data_race,kubernetes,79631,kubernetes79631,2,1,,
35,43,nonblocking/data_race/kubernetes/80284/kubernetes80284_test.go,nonblocking/data_race,kubernetes,80284,kubernetes80284,1,1,,
36,43,nonblocking/data_race/kubernetes/81091/kubernetes81091_test.go,nonblocking/data_race,kubernetes,81091,kubernetes81091,0,0,,Not a mutex
37,43,nonblocking/data_race/kubernetes/81148/kubernetes81148_test.go,nonblocking/data_race,kubernetes,81148,kubernetes81148,2,1,,
38,43,nonblocking/data_race/kubernetes/82239/kubernetes82239_test.go,nonblocking/data_race,kubernetes,82239,kubernetes82239,0,0,,No mutex
39,43,nonblocking/data_race/kubernetes/82550/kubernetes82550_test.go,nonblocking/data_race,kubernetes,82550,kubernetes82550,3,1,,
40,43,nonblocking/data_race/kubernetes/88331/kubernetes88331_test.go,nonblocking/data_race,kubernetes,88331,kubernetes88331,2,1,,
41,43,nonblocking/data_race/kubernetes/89164/kubernetes89164_test.go,nonblocking/data_race,kubernetes,89164,kubernetes89164,1,1,,
42,43,nonblocking/data_race/serving/3148/serving3148_test.go,nonblocking/data_race,serving,3148,serving3148,0,0,,WaitGroup
43,43,nonblocking/data_race/serving/6472/serving6472_test.go,nonblocking/data_race,serving,6472,serving6472,0,0,,Sync.Cond
