case_index,case_total,case_path,category,project,bug_id,case_id,source_path,line,column,message,label,notes
1,43,blocking/abba_deadlock/cockroach/10214/cockroach10214_test.go,blocking/abba_deadlock,cockroach,10214,cockroach10214,evaluation/gobench_samples/blocking/abba_deadlock/cockroach/10214/cockroach10214_test.go,113,2,"Potential deadlock between goroutines: go TestCockroach10214$1 acquires coalescedMu before raftMu, while go TestCockroach10214$2 acquires raftMu before coalescedMu (other goroutine starts near line 117)",TP,
2,43,blocking/abba_deadlock/cockroach/7504/cockroach7504_test.go,blocking/abba_deadlock,cockroach,7504,cockroach7504,evaluation/gobench_samples/blocking/abba_deadlock/cockroach/7504/cockroach7504_test.go,64,15,"Call to removeLease acquires lock mu, but it is already held",FP,
2,43,blocking/abba_deadlock/cockroach/7504/cockroach7504_test.go,blocking/abba_deadlock,cockroach,7504,cockroach7504,evaluation/gobench_samples/blocking/abba_deadlock/cockroach/7504/cockroach7504_test.go,172,2,"Potential deadlock between goroutines: go TestCockroach7504$1 acquires mu before mu, while go TestCockroach7504$2 acquires mu before mu (other goroutine starts near line 179)",TP,
2,43,blocking/abba_deadlock/cockroach/7504/cockroach7504_test.go,blocking/abba_deadlock,cockroach,7504,cockroach7504,evaluation/gobench_samples/blocking/abba_deadlock/cockroach/7504/cockroach7504_test.go,179,2,"Potential deadlock between goroutines: go TestCockroach7504$2 may reacquire mu while already held, and go TestCockroach7504$1 also acquires mu (other goroutine starts near line 172)",TP,
3,43,blocking/abba_deadlock/hugo/3251/hugo3251_test.go,blocking/abba_deadlock,hugo,3251,hugo3251,evaluation/gobench_samples/blocking/abba_deadlock/hugo/3251/hugo3251_test.go,42,2,Function resGetRemote returns lock(s) RWMutex but no @returns(...) contract is declared,FP,
4,43,blocking/abba_deadlock/kubernetes/13135/kubernetes13135_test.go,blocking/abba_deadlock,kubernetes,13135,kubernetes13135,evaluation/gobench_samples/blocking/abba_deadlock/kubernetes/13135/kubernetes13135_test.go,140,2,"Potential deadlock between goroutines: go Util acquires Mutex before RWMutex, while go Add acquires RWMutex before Mutex (other goroutine starts near line 173)",TP,
6,43,blocking/abba_deadlock/moby/4951/moby4951_test.go,blocking/abba_deadlock,moby,4951,moby4951,evaluation/gobench_samples/blocking/abba_deadlock/moby/4951/moby4951_test.go,38,22,"Call to deleteDevice acquires lock Mutex, but it is already held",TP,
6,43,blocking/abba_deadlock/moby/4951/moby4951_test.go,blocking/abba_deadlock,moby,4951,moby4951,evaluation/gobench_samples/blocking/abba_deadlock/moby/4951/moby4951_test.go,51,29,"Call to removeDeviceAndWait acquires lock devices.Mutex, but it is already held",TP,
6,43,blocking/abba_deadlock/moby/4951/moby4951_test.go,blocking/abba_deadlock,moby,4951,moby4951,evaluation/gobench_samples/blocking/abba_deadlock/moby/4951/moby4951_test.go,92,2,"Potential deadlock between goroutines: go DeleteDevice acquires lock before Mutex, while go DeleteDevice acquires Mutex before lock (other goroutine starts near line 93)",TP,
6,43,blocking/abba_deadlock/moby/4951/moby4951_test.go,blocking/abba_deadlock,moby,4951,moby4951,evaluation/gobench_samples/blocking/abba_deadlock/moby/4951/moby4951_test.go,92,2,"Potential deadlock between goroutines: go DeleteDevice may reacquire Mutex while already held, and go DeleteDevice also acquires Mutex (other goroutine starts near line 93)",DUP,
